,epoch,loss,correct
0,500,0.7219278392592137,50
1,490,0.7504170760716621,50
2,480,0.7800916448394991,50
3,470,0.81250504392635,50
4,460,0.8479979619565386,50
5,450,0.8872708260598466,50
6,440,0.9264620643913601,50
7,430,0.9697418309499136,50
8,420,1.0183465421900788,50
9,410,1.071795859794569,50
10,400,1.1275400615687667,50
11,390,1.1909070756403828,50
12,380,1.2716829076037053,50
13,370,1.3635825639325256,50
14,360,1.464050386934673,50
15,350,1.5761223292164586,50
16,340,1.6980654954515224,50
17,330,1.8373839460965111,50
18,320,1.995388117438438,50
19,310,2.1715611093970564,50
20,300,2.4270729068177874,50
21,290,2.6964409442113397,50
22,280,3.0509320123150854,50
23,270,4.914925363437264,50
24,260,14.376441507859532,46
25,250,3.6186814551511697,50
26,240,3.6183462884709305,50
27,230,7.152856160491929,47
28,220,16.483901691377117,42
29,210,4.983789608592245,49
30,200,5.608919180745869,49
31,190,16.275568568102535,44
32,180,6.9982580391707545,47
33,170,21.428986717339548,40
34,160,8.419158161729959,46
35,150,11.106648916167408,46
36,140,12.67890333127419,46
37,130,13.94097009562673,42
38,120,14.432681229919874,45
39,110,15.203265490849306,42
40,100,14.8571401791795,45
41,90,16.01365843112698,43
42,80,18.4469618436818,42
43,70,18.20779028214641,41
44,60,19.74990731288857,42
45,50,20.535156288703494,42
46,40,23.385685076382543,41
47,30,23.837539127140538,42
48,20,26.030399763227507,42
49,10,28.93274422006714,37
